‼,u'\u203c',二重感嘆符,ニジュウカンタンフ
⁉,u'\u2049',疑問符感嘆符,ギモンフカンタンフ
€,u'\u20ac',€,ユーロ
℃,u'\u2103',℃,シー
℠,u'\u2120',℠,サービスマーク
™,u'\u2122',™,トレードマーク
™,u'\u2122',トレードマーク,トレードマーク
ℹ,u'\u2139',情報源,ジョウホウゲン
↔,u'\u2194',左右,サユウ
↔,u'\u2194',左右矢印,サユウヤジルシ
↕,u'\u2195',上下,ジョウゲ
↕,u'\u2195',上下矢印,ジョウゲヤジルシ
↖,u'\u2196',左上,ヒダリウエ
↖,u'\u2196',左上矢印,ヒダリウエヤジルシ
↗,u'\u2197',右上,ミギウエ
↗,u'\u2197',右上矢印,ミギウエヤジルシ
↘,u'\u2198',右下,ミギシタ
↘,u'\u2198',右下矢印,ミギシタヤジルシ
↙,u'\u2199',左下,ヒダリシタ
↙,u'\u2199',左下矢印,ヒダリシタヤジルシ
↩,u'\u21a9',フック付き左向き矢印,フックツキヒダリムキヤジルシ
↪,u'\u21aa',フック付き右向き矢印,フックツキミギムキヤジルシ
⌚,u'\u231a',時間測定,ジカンソクテイ
⌚,u'\u231a',時計,トケイ
⌛,u'\u231b',時間測定,ジカンソクテイ
⌛,u'\u231b',砂時計,スナドケイ
⌨,u'\u2328',キー入力,キーニュウリョク
⌨,u'\u2328',キーボード,キーボード
⏏,u'\u23cf',イジェクト,イジェクト
⏏,u'\u23cf',イジェクトボタン,イジェクトボタン
⏩,u'\u23e9',早送り,ハヤオクリ
⏩,u'\u23e9',早送りボタン,ハヤオクリボタン
⏪,u'\u23ea',早戻し,ハヤモドシ
⏪,u'\u23ea',早戻しボタン,ハヤモドシボタン
⏫,u'\u23eb',先頭移動,セントウイドウ
⏫,u'\u23eb',先頭移動ボタン,セントウイドウボタン
⏬,u'\u23ec',末尾移動,マツビイドウ
⏬,u'\u23ec',末尾移動ボタン,マツビイドウボタン
⏭,u'\u23ed',曲送り,キョクオクリ
⏭,u'\u23ed',次曲ボタン,ジキョクボタン
⏮,u'\u23ee',曲戻し,キョクモドシ
⏮,u'\u23ee',前曲ボタン,ゼンキョクボタン
⏯,u'\u23ef',スロー再生,スローサイセイ
⏯,u'\u23ef',スローボタン,スローボタン
⏰,u'\u23f0',アラーム設定,アラームセッテイ
⏰,u'\u23f0',目覚まし時計,メザマシドケイ
